feature_file,scenario,step_num,step_name,glue_code,glue_code_file,language
cache.feature,Custom Cache directory,3,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,4,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,5,the .foo-cache directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,6,the .foo-cache/Jekyll/Cache/Jekyll--Cache directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,7,the .jekyll-cache directory should not exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,8,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Custom Cache directory,9,"I should see ""<p>Hello World</p>"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,1,"I have an ""index.md"" page that contains ""{{ site.title }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,2,"I have a configuration file with ""title"" set to ""Hello World""","Given(%r!^I have a configuration file with ""(.*)"" set to ""(.*)""$!) do |key, value|
  config = \
    if source_dir.join(""_config.yml"").exist?
      SafeYAML.load_file(source_dir.join(""_config.yml""))
    else
      {}
    end
  config[key] = SafeYAML.load(value)
  Jekyll.set_timezone(value) if key == ""timezone""
  File.write(""_config.yml"", YAML.dump(config))
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,3,I run jekyll build --safe,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,4,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,5,the .jekyll-cache directory should not exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,6,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Disk usage in safe mode,7,"I should see ""<p>Hello World</p>"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,1,"I have an ""index.md"" page that contains ""{{ site.title }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,2,"I have a configuration file with ""title"" set to ""Hello World""","Given(%r!^I have a configuration file with ""(.*)"" set to ""(.*)""$!) do |key, value|
  config = \
    if source_dir.join(""_config.yml"").exist?
      SafeYAML.load_file(source_dir.join(""_config.yml""))
    else
      {}
    end
  config[key] = SafeYAML.load(value)
  Jekyll.set_timezone(value) if key == ""timezone""
  File.write(""_config.yml"", YAML.dump(config))
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,3,I run jekyll build --disable-disk-cache,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,4,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,5,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,6,"I should see ""<p>Hello World</p>"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
cache.feature,Disabling disk usage in non-safe mode,7,the .jekyll-cache directory should not exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,1,"I have an ""index.html"" page that contains ""Collections: {{ site.methods }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,2,I have fixture collections,"Given(%r!^I have fixture collections(?: in ""(.*)"" directory)?$!) do |directory|
  collections_dir = File.join(source_dir, directory.to_s)
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_methods""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_thanksgiving""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_tutorials""), collections_dir
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,3,"I have a ""_methods/static-file.txt"" file that contains ""Static Content {{ site.title }}""","Given(%r!^I have an? ""(.*)"" file that contains ""(.*)""$!) do |file, text|
  File.write(file, text)
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,4,"I have a configuration file with ""collections"" set to ""['methods']""","Given(%r!^I have a configuration file with ""(.*)"" set to ""(.*)""$!) do |key, value|
  config = \
    if source_dir.join(""_config.yml"").exist?
      SafeYAML.load_file(source_dir.join(""_config.yml""))
    else
      {}
    end
  config[key] = SafeYAML.load(value)
  Jekyll.set_timezone(value) if key == ""timezone""
  File.write(""_config.yml"", YAML.dump(config))
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,5,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,6,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,7,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,8,the _site/methods directory should not exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,9,"the ""_site/methods/configuration.html"" file should not exist","Then(%r!^the ""(.*)"" file should +(not )?exist$!) do |file, negative|
  if negative.nil?
    expect(Pathname.new(file)).to exist
  else
    expect(Pathname.new(file)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Unrendered collection,10,"the ""_site/methods/static-file.txt"" file should not exist","Then(%r!^the ""(.*)"" file should +(not )?exist$!) do |file, negative|
  if negative.nil?
    expect(Pathname.new(file)).to exist
  else
    expect(Pathname.new(file)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,1,"I have an ""index.html"" page that contains ""Collections: output => {{ site.collections[0].output }} label => {{ site.collections[0].label }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,2,"I have an ""collection_metadata.html"" page that contains ""Methods metadata: {{ site.collections[0].foo }} {{ site.collections[0] }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,3,I have fixture collections,"Given(%r!^I have fixture collections(?: in ""(.*)"" directory)?$!) do |directory|
  collections_dir = File.join(source_dir, directory.to_s)
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_methods""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_thanksgiving""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_tutorials""), collections_dir
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,4,"I have a ""_methods/static-file.txt"" file that contains ""Static Content {{ site.title }}""","Given(%r!^I have an? ""(.*)"" file that contains ""(.*)""$!) do |file, text|
  File.write(file, text)
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,5,"I have a ""_config.yml"" file with content","Given(%r!^I have an? ""(.*)"" file with content:$!) do |file, text|
  File.write(file, text)
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,6,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,7,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,8,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,9,"I should see ""Collections: output => true"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,10,"I should see ""label => methods"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,11,"I should see ""Methods metadata: bar"" in ""_site/collection_metadata.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,12,"I should see ""<p>Whatever: foo.bar</p>"" in ""_site/methods/configuration.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection,13,"I should see ""Static Content {{ site.title }}"" in ""_site/methods/static-file.txt""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,1,"I have an ""index.html"" page that contains ""Collections: {{ site.collections }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,2,I have fixture collections,"Given(%r!^I have fixture collections(?: in ""(.*)"" directory)?$!) do |directory|
  collections_dir = File.join(source_dir, directory.to_s)
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_methods""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_thanksgiving""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_tutorials""), collections_dir
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,3,"I have a ""_config.yml"" file with content","Given(%r!^I have an? ""(.*)"" file with content:$!) do |file, text|
  File.write(file, text)
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,4,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,5,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,6,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered collection at a custom URL,7,"I should see ""<p>Whatever: foo.bar</p>"" in ""_site/methods/configuration/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,1,"I have an ""index.html"" page that contains ""Collections: output => {{ site.collections[0].output }} label => {{ site.collections[0].label }} foo => {{ site.collections[0].foo }}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,2,"I have a default layout that contains ""<div class='title'>Tom Preston-Werner</div> {{content}}""","Given(%r!^I have an? (.*) (layout|theme) that contains ""(.*)""$!) do |name, type, text|
  folder = type == ""layout"" ? ""_layouts"" : ""_theme""

  destination_file = Pathname.new(File.join(folder, ""#{name}.html""))
  FileUtils.mkdir_p(destination_file.parent) unless destination_file.parent.directory?
  File.write(destination_file, text)
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,3,I have fixture collections,"Given(%r!^I have fixture collections(?: in ""(.*)"" directory)?$!) do |directory|
  collections_dir = File.join(source_dir, directory.to_s)
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_methods""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_thanksgiving""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_tutorials""), collections_dir
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,4,"I have a ""_config.yml"" file with content","Given(%r!^I have an? ""(.*)"" file with content:$!) do |file, text|
  File.write(file, text)
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,5,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,6,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,7,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,8,"I should see ""Collections: output => true"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,9,"I should see ""label => methods"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,10,"I should see ""foo => bar"" in ""_site/index.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,11,"I should see ""<p>Run your generators! default</p>"" in ""_site/methods/site/generate.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Rendered document in a layout,12,"I should see ""<div class='title'>Tom Preston-Werner</div>"" in ""_site/methods/site/generate.html""","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)""$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    expect(file_contents(file)).to match regexp
  else
    expect(file_contents(file)).not_to match regexp
  end
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,1,"I have an ""index.html"" page that contains ""Collections: {% for method in site.methods %}{{ method.relative_path }} {% endfor %}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,2,I have fixture collections,"Given(%r!^I have fixture collections(?: in ""(.*)"" directory)?$!) do |directory|
  collections_dir = File.join(source_dir, directory.to_s)
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_methods""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_thanksgiving""), collections_dir
  FileUtils.cp_r Paths.source_dir.join(""test"", ""source"", ""_tutorials""), collections_dir
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,3,"I have a ""_config.yml"" file with content","Given(%r!^I have an? ""(.*)"" file with content:$!) do |file, text|
  File.write(file, text)
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,4,I run jekyll build,"When(%r!^I run jekyll(.*)$!) do |args|
  run_jekyll(args)
  if args.include?(""--verbose"") || ENV[""DEBUG""]
    warn ""\n#{jekyll_run_output}\n""
  end
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,5,I should get a zero exit status,"Then(%r!^I should get a zero exit(?:-| )status$!) do
  step %(I should see ""EXIT STATUS: 0"" in the build output)
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,6,the _site directory should exist,"Then(%r!^the (.*) directory should +(not )?exist$!) do |dir, negative|
  if negative.nil?
    expect(Pathname.new(dir)).to exist
  else
    expect(Pathname.new(dir)).to_not exist
  end
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,7,"I should see ""Collections: _methods/3940394-21-9393050-fifif1323-test.md _methods/collection/entries _methods/configuration.md _methods/escape-\+ #%20\[\].md _methods/sanitized_path.md _methods/site/generate.md _methods/site/initialize.md _methods/trailing-dots...md _methods/um_hi.md"" in ""_site/index.html"" unless Windows","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)"" unless Windows$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    if Jekyll::Utils::Platforms.really_windows?
      expect(file_contents(file)).not_to match regexp
    else
      expect(file_contents(file)).to match regexp
    end
  end
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an array,8,"I should see ""Collections: _methods/3940394-21-9393050-fifif1323-test.md _methods/collection/entries _methods/configuration.md _methods/escape-\+ #%20\[\].md _methods/sanitized_path.md _methods/site/generate.md _methods/site/initialize.md _methods/trailing-dots...md _methods/yaml_with_dots.md"" in ""_site/index.html"" if on Windows","Then(%r!^I should (not )?see ""(.*)"" in ""(.*)"" if on Windows$!) do |negative, text, file|
  step %(the ""#{file}"" file should exist)
  regexp = Regexp.new(text, Regexp::MULTILINE)
  if negative.nil? || negative.empty?
    if Jekyll::Utils::Platforms.really_windows?
      expect(file_contents(file)).to match regexp
    else
      expect(file_contents(file)).not_to match regexp
    end
  end
end

",step_definitions.rb,ruby
collections.feature,Collections specified as an hash,1,"I have an ""index.html"" page that contains ""Collections: {% for method in site.methods %}{{ method.relative_path }} {% endfor %}""","Given(%r!^I have an? ""(.*)"" page(?: with (.*) ""(.*)"")? that contains ""(.*)""$!) do |file, key, value, text|
  File.write(file, <<~DATA)
    ---
    #{key || ""layout""}: #{value || ""none""}
    ---

    #{text}
  DATA
end

",step_definitions.rb,ruby
